curso,departamento,campus,turno,area_conhecimento,grau_academico,categoria_grau,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
SERVICO SOCIAL,DEPARTAMENTO DE SERVICO SOCIAL,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,8.0,9.0,16.0,3120,1044,553,381,52.97,36.49,19.89,40.33,59.67,2.89,10.19,10.0,1.19,32.6,RETENÇÃO MÉDIA,180,137.0,39.0,81.0,679200.0,17.24
AGRONOMIA,FACULDADE DE AGRONOMIA E MEDICINA VETERINARIA,DARCY RIBEIRO,DIURNO,CIENCIAS AGRARIAS,ENGENHEIRO AGRONOMO,BACHARELADO,8.0,11.0,14.0,3960,982,441,419,44.91,42.67,5.22,46.49,53.51,15.87,11.68,12.0,0.68,31.9,RETENÇÃO MÉDIA,407,315.0,58.0,172.0,1558800.0,41.45
EDUCACAO FISICA,FACULDADE DE EDUCACAO FISICA,DARCY RIBEIRO,DIURNO,CIENCIAS DA SAUDE,MISTO (BACHARELADO + LICENCIATURA),MISTO,8.0,10.0,12.0,3210,1641,708,827,43.14,50.4,31.92,75.28,24.72,15.11,9.56,9.0,-0.44,30.6,RETENÇÃO MÉDIA,112,87.0,23.0,58.0,446400.0,6.83
HISTORIA,DEPARTAMENTO DE HISTORIA,DARCY RIBEIRO,NOTURNO,CIENCIAS HUMANAS,MISTO (BACHARELADO + LICENCIATURA),MISTO,7.0,11.0,15.0,3405,1182,460,590,38.92,49.92,4.78,70.22,29.78,4.57,10.53,10.0,-0.47,30.3,RETENÇÃO MÉDIA,308,195.0,98.0,130.0,964800.0,26.06
GESTAO AMBIENTAL,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA (FUP),NOTURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,8.0,12.0,16.0,2790,436,177,217,40.6,49.77,19.77,81.92,18.08,3.39,10.56,10.0,-1.44,30.2,RETENÇÃO MÉDIA,45,34.0,9.0,22.0,163200.0,10.32
ENGENHARIA DE COMPUTACAO,DEPARTAMENTO DE CIENCIA DA COMPUTACAO,DARCY RIBEIRO,DIURNO,CIENCIAS EXATAS E DA TERRA,BACHAREL,BACHARELADO,8.0,13.0,18.0,3780,524,160,260,30.53,49.62,4.38,70.0,30.0,6.25,12.6,12.0,-0.4,30.0,RETENÇÃO MÉDIA,84,62.0,21.0,21.0,315600.0,16.03
GEOFISICA,INSTITUTO DE GEOCIENCIAS,DARCY RIBEIRO,DIURNO,CIENCIAS EXATAS E DA TERRA,BACHAREL,BACHARELADO,8.5,11.5,14.0,3450,450,94,221,20.89,49.11,14.89,60.64,39.36,14.89,10.95,11.0,-0.55,29.7,RETENÇÃO MÉDIA,84,47.0,31.0,22.0,240000.0,18.67
ENGENHARIA DE REDES DE COMUNICACAO,FACULDADE DE TECNOLOGIA,DARCY RIBEIRO,DIURNO,ENGENHARIAS,BACHAREL,BACHARELADO,10.0,15.0,20.0,3750,538,165,262,30.67,48.7,21.21,88.48,11.52,0.0,12.07,12.0,-2.93,29.4,RETENÇÃO MÉDIA,46,28.0,16.0,11.0,134400.0,8.55
NUTRICAO,DEPARTAMENTO DE NUTRICAO,DARCY RIBEIRO,DIURNO,CIENCIAS DA SAUDE,NUTRICIONISTA,BACHARELADO,6.0,9.0,14.0,3600,516,307,177,59.5,34.3,2.28,42.67,57.33,6.84,10.0,10.0,1.0,29.0,RETENÇÃO MÉDIA,122,99.0,15.0,44.0,504000.0,23.64
ODONTOLOGIA,DEPARTAMENTO DE ODONTOLOGIA,DARCY RIBEIRO,DIURNO,CIENCIAS DA SAUDE,CIRURGIAO DENTISTA,BACHARELADO,10.0,10.0,18.0,4065,455,275,147,60.44,32.31,40.0,40.0,60.0,1.82,11.12,11.0,1.12,28.7,RETENÇÃO MÉDIA,246,174.0,48.0,117.0,853200.0,54.07
ADMINISTRACAO,NAO CADASTRADO,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,8.0,10.0,16.0,3000,2183,1019,940,46.68,43.06,19.63,58.29,41.71,2.94,10.3,10.0,0.3,28.2,RETENÇÃO MÉDIA,116,88.0,26.0,50.0,447600.0,5.31
